Zeit;Kanal A
(ms);(mV)

-23,16799910;-2,04355300
-23,16299910;-1,67199800
-23,15799910;-1,30044300
-23,15299910;-1,30044300
-23,14799910;-0,92888770
-23,14299910;-0,74311020
-23,13799910;-1,11466500
-23,13299910;-0,74311020
-23,12799910;-0,92888770
-23,12299910;-0,37155510
-23,11799910;0,00000000
-23,11299910;0,18577760
-23,10799910;0,55733270
-23,10299910;0,00000000
-23,09799910;0,55733270
-23,09299910;0,37155510
-23,08799910;0,18577760
-23,08299910;0,00000000
-23,07799910;0,55733270
-23,07299910;1,30044300
-23,06799910;0,74311020
-23,06299910;0,74311020
-23,05799910;0,55733270
-23,05299910;0,55733270
-23,04799910;0,18577760
-23,04299910;0,92888770
-23,03799910;0,92888770
-23,03299910;1,48622000
-23,02799910;0,92888770
-23,02299910;0,18577760
-23,01799910;0,74311020
-23,01299910;0,92888770
-23,00799910;0,74311020
-23,00299910;1,30044300
-22,99799910;2,04355300
-22,99299910;1,11466500
-22,98799910;1,48622000
-22,98299910;1,11466500
-22,97799910;0,92888770
-22,97299910;0,92888770
-22,96799910;1,11466500
-22,96299910;0,92888770
-22,95799910;1,48622000
-22,95299910;0,92888770
-22,94799910;1,67199800
-22,94299910;0,92888770
-22,93799910;1,48622000
-22,93299910;1,30044300
-22,92799910;1,48622000
-22,92299910;1,48622000
-22,91799910;1,48622000
-22,91299910;0,00000000
-22,90799910;1,11466500
-22,90299910;0,55733270
-22,89799910;1,85777500
-22,89299911;1,85777500
-22,88799911;1,11466500
-22,88299911;0,92888770
-22,87799911;0,18577760
-22,87299911;1,48622000
-22,86799911;1,11466500
-22,86299911;1,48622000
-22,85799911;1,85777500
-22,85299911;1,48622000
-22,84799911;1,30044300
-22,84299911;1,48622000
-22,83799911;2,04355300
-22,83299911;1,30044300
-22,82799911;2,78727800
-22,82299911;2,41572300
-22,81799911;2,04355300
-22,81299911;2,04355300
-22,80799911;1,67199800
-22,80299911;2,04355300
-22,79799911;1,85777500
-22,79299911;1,11466500
-22,78799911;1,67199800
-22,78299911;1,30044300
-22,77799911;0,55733270
-22,77299911;1,67199800
-22,76799911;1,85777500
-22,76299911;0,92888770
