Zeit;Kanal A
(ms);(V)

-4,96001965;1,07406500
-4,95991565;1,07406500
-4,95981165;1,07406500
-4,95970765;1,07406500
-4,95960365;1,07406500
-4,95949965;1,07406500
-4,95939565;1,07406500
-4,95929165;1,07406500
-4,95918765;1,07406500
-4,95908365;1,07406500
-4,95897965;1,07406500
-4,95887565;1,12081700
-4,95877165;1,07406500
-4,95866765;1,07406500
-4,95856365;1,07406500
-4,95845965;1,07406500
-4,95835565;1,07406500
-4,95825165;1,07406500
-4,95814765;1,07406500
-4,95804365;1,12081700
-4,95793965;1,07406500
-4,95783565;1,07406500
-4,95773165;1,07406500
-4,95762765;1,07406500
-4,95752365;1,07406500
-4,95741965;1,07406500
-4,95731565;1,07406500
-4,95721165;1,12081700
-4,95710765;1,07406500
-4,95700365;1,02731300
-4,95689965;1,07406500
-4,95679565;1,07406500
-4,95669165;1,07406500
-4,95658765;1,07406500
-4,95648365;1,07406500
-4,95637965;1,07406500
-4,95627565;1,07406500
-4,95617165;1,07406500
-4,95606765;1,07406500
-4,95596365;1,07406500
-4,95585965;1,07406500
-4,95575565;1,07406500
-4,95565165;1,07406500
-4,95554765;1,12081700
-4,95544365;1,07406500
-4,95533965;1,07406500
-4,95523565;1,07406500
-4,95513165;1,07406500
-4,95502765;1,07406500
-4,95492365;1,12081700
-4,95481965;1,07406500
-4,95471565;1,07406500
-4,95461165;1,07406500
-4,95450765;1,07406500
-4,95440365;1,07406500
-4,95429965;1,07406500
-4,95419565;1,02731300
-4,95409165;1,07406500
-4,95398765;1,07406500
-4,95388365;1,12081700
-4,95377965;1,07406500
-4,95367565;1,07406500
-4,95357165;1,07406500
-4,95346765;1,07406500
-4,95336365;1,07406500
-4,95325965;1,07406500
-4,95315565;1,07406500
-4,95305165;1,07406500
-4,95294765;1,07406500
-4,95284365;1,07406500
-4,95273965;1,12081700
-4,95263565;1,07406500
-4,95253165;1,07406500
-4,95242765;1,07406500
-4,95232365;1,07406500
-4,95221965;1,07406500
-4,95211565;1,07406500
-4,95201165;1,07406500
-4,95190765;1,07406500
-4,95180365;1,07406500
-4,95169965;1,07406500
-4,95159565;1,07406500
-4,95149165;1,07406500
-4,95138765;1,07406500
-4,95128365;1,07406500
-4,95117965;1,07406500
-4,95107565;1,07406500
-4,95097165;1,07406500
-4,95086765;1,02731300
-4,95076365;1,07406500
-4,95065965;1,07406500
-4,95055565;1,12081700
-4,95045165;1,07406500
-4,95034765;1,16741500
-4,95024365;1,07406500
-4,95013965;1,07406500
-4,95003565;1,07406500
-4,94993165;1,07406500
-4,94982765;1,07406500
-4,94972365;1,07406500
-4,94961965;1,07406500
-4,94951565;1,07406500
